,gis_id,NAME,NBH_names,NCID,population_total,population_female_perc,population_male_perc,population_asian_perc,population_black_perc,population_hispanic_perc,population_white_perc,household_total,median_household_income,per_capita_income,population_edu_total,population_edu_advanced_perc,population_edu_bachelor_perc,population_edu_highschool_perc,population_edu_nodiploma_perc,population_edu_somecollege_perc,population_industry_total,population_industry_administration_perc,population_industry_agriculture_perc,population_industry_art_perc,population_industry_construction_perc,population_industry_education_perc,population_industry_finance_perc,population_industry_informatin_perc,population_industry_management_perc,population_industry_manufacture_perc,population_industry_other_perc,population_industry_retail_perc,population_industry_transportation_perc,population_industry_wholesale_per,population_unemployed_perc,population_no_health_insurance_perc,population_poverty_perc,tenure_total,tenure_renter_perc,tenure_owner_perc,walk_time_lib,tran_time_lib,walk_time_slc,tran_time_slc,num_trips,num_stops,num_trips_area_norm,num_stops_area_norm,walk_time_LR,tran_time_LR,walkscore,bikescore,total_bikelanes,major_bikelanes,minor_bikelanes,sharrow,greenway,trail,total_sidewalks,SW_rank1,SW_rank2,SW_rank3,SW_rank4,trans_eff,enroll_elem_df,math_perc_elem_df,reading_perc_elem_df,isa_perc_elem_df,s_per_t_elem_df,fam_sat_elem_df,stu_sat_elem_df,red_lunch_elem_df,enroll_ms_df,math_perc_ms_df,reading_perc_ms_df,isa_perc_ms_df,s_per_t_ms_df,fam_sat_ms_df,stu_sat_ms_df,red_lunch_ms_df,enroll_hs_df,math_perc_hs_df,reading_perc_hs_df,isa_perc_hs_df,s_per_t_hs_df,fam_sat_hs_df,stu_sat_hs_df,red_lunch_hs_df
0,530330001001,33,100,1,1293,0.527,0.473,0.108,0.021,0.019,0.864,623,113672,68764,1068,0.321,0.37,0.056,0.045,0.208,659,0.097,0.017,0.02,0.02,0.281,0.108,0.042,0.114,0.02,0,0.237,0.046,0,0.042,0.047,0.067,623,0.072,0.928,19,14,59,32,0,0,0,0,117,40,37,40,0.007277077,0,0,0,0,0.003005554,0.074952074,0.000711275,0.073684522,0.000556277,0,0.348484848,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
1,530330001002,33,100,2,1202,0.453,0.547,0.095,0.14,0.139,0.64,632,37083,27463,926,0.141,0.18,0.261,0.106,0.311,578,0.054,0,0.178,0.017,0.254,0.026,0.024,0.138,0.22,0.054,0,0.022,0.012,0.097,0.158,0.251,632,0.843,0.157,16,11,56,29,875,4,0.003337389,1.53E-05,114,23,77,63,0.005389378,0,0,0.000223706,0,0,0.082544529,0.007839418,0.049135694,0.019935138,0.005634279,0.372881356,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
2,530330001003,33,100,3,1607,0.553,0.447,0.125,0.088,0.085,0.632,684,56875,35299,1185,0.15,0.333,0.206,0.046,0.265,959,0.033,0,0.072,0.065,0.365,0.043,0,0.243,0.021,0.029,0.108,0.021,0,0.075,0.134,0.175,684,0.586,0.414,12,6,52,23,1384,4,0.030289766,8.75E-05,109,25,75,59,0.092978115,0,0.024805592,0.046282866,0,0,0.432503415,0.084254818,0.178535885,0.169712711,0,0.379310345,389,0.606036667,0.623083333,0.95428,16,0.828,0.603,0.43445,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
3,530330001004,33,100,4,1816,0.454,0.546,0.107,0.281,0.275,0.318,832,27955,17369,1057,0.107,0.18,0.195,0.155,0.363,803,0,0.083,0.133,0.065,0.24,0.04,0,0.186,0.085,0.035,0.062,0.071,0,0.159,0.137,0.279,832,0.969,0.031,19,9,59,30,660,4,0.002737828,1.66E-05,119,26,71,66,0.006998225,0,0,0,0,0,0.030011471,0.007244757,0.009318858,0.010971376,0.002476481,0.37704918,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
4,530330001005,33,100,5,1000,0.594,0.406,0.211,0.001,0.032,0.73,629,35417,32499,774,0.115,0.324,0.225,0.107,0.229,532,0.169,0,0,0,0.269,0.083,0.032,0.194,0.148,0,0.058,0.023,0.024,0.095,0.044,0.127,629,0.849,0.151,7,7,48,21,2474,7,0.009459609,2.68E-05,106,21,88,70,0.003512961,0,0,0,0,0,0.060291761,0.015629755,0.016842833,0.023248928,0.004570245,0.375,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
5,530330002001,33,200,6,1063,0.464,0.536,0.203,0,0.211,0.743,439,75197,35132,836,0.115,0.373,0.195,0.084,0.233,623,0,0,0.136,0.075,0.379,0.024,0.026,0.08,0.18,0.024,0.051,0.024,0,0.159,0.221,0.049,439,0.278,0.722,13,9,50,32,1446,7,0.003082978,1.49E-05,113,33,71,60,0.013990126,0,0,0,0.008495444,0,0.073601444,0.003194018,0.061021721,0.00894173,0.000443975,0.348484848,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
6,530330002002,33,200,7,1143,0.481,0.519,0.207,0.19,0.09,0.465,534,48516,23328,795,0.162,0.366,0.081,0.165,0.226,339,0.094,0.044,0,0,0.295,0.038,0.041,0.245,0.032,0,0.209,0,0,0.234,0.089,0.361,534,0.513,0.487,7,7,41,22,999,5,0.001827177,9.15E-06,103,34,77,70,0.012943232,0,0.00156817,0.000670479,0.004868751,0,0.065997764,0.017784953,0.041959884,0.005158427,0.0010945,0.34375,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
7,530330002003,33,200,8,1876,0.582,0.418,0.3,0.129,0,0.512,893,43013,28691,1328,0.193,0.284,0.227,0.015,0.282,1087,0.043,0,0.167,0.01,0.247,0.074,0,0.096,0.019,0.107,0.188,0.036,0.013,0.046,0.16,0.157,893,0.796,0.204,27,22,33,30,1281,7,0.010747095,5.87E-05,120,36,35,34,0.02494908,0,0,0,0,0,0.2387893,0.001266363,0.144680009,0.089680411,0.003162517,0.294871795,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
8,530330002004,33,200,9,1044,0.539,0.461,0.472,0,0,0.443,504,52619,27184,758,0.26,0.232,0.058,0.198,0.252,489,0,0.029,0.172,0,0.325,0,0,0.102,0.031,0,0.342,0,0,0.046,0.026,0.072,504,0.323,0.677,21,17,39,27,1575,5,0.00697276,2.21E-05,117,33,65,54,0.019084254,0,0,0,0,0,0.121731807,0.036421933,0.068387829,0.016922046,0,0.301369863,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1181,0.04815,0.85032,0.90707,18,0.797,0.558,0.337
9,530330002005,33,200,10,1494,0.627,0.373,0.084,0.118,0,0.645,713,65028,35482,1133,0.11,0.351,0.089,0.079,0.37,784,0.018,0,0.111,0.068,0.166,0.052,0.019,0.18,0.143,0.099,0.144,0,0,0.039,0.159,0.026,713,0.54,0.46,20,11,30,21,1402,6,0.010766974,4.61E-05,108,28,68,51,0.029790209,0,0.007228691,0.000967231,0,0,0.256327327,0.009208806,0.19372483,0.053393691,0,0.3,289,0.742493333,0.791346667,0.9484,13,0.86,0.623,0.76471,825,0.63445,0.62743,0.94403,18,0.763,0.448,0.29818,1239,0.04983,0.82541,0.90095,20,0.791,0.564,0.29944
